state,timestamp,keystroke_count,keystroke_rate,typing_speed_wpm,keystroke_variance,keystroke_burst_ratio,avg_inter_keystroke_time,keystroke_rhythm_std,mouse_movement_count,mouse_distance,mouse_velocity,mouse_velocity_std,mouse_acceleration,mouse_direction_changes,mouse_idle_ratio,click_count,click_rate,click_clustering,avg_click_interval,click_pattern_regularity,scroll_count,scroll_rate,scroll_intensity,scroll_direction_changes,app_switch_count,app_switch_rate,unique_apps_count,app_focus_stability,user_id,session_id
task_execution,2026-01-11T16:10:32.332085,109.025,0.109,12.563,0.049,0.268,0.037,0.048,420.957,9047.197,58.006,10.994,26.429,36.628,0.151,19.217,0.099,0.871,4.623,0.496,4.954,0.049,2.062,1.216,6.191,2.066,3.656,0.359,0,u0_s0
research_reading,2026-01-11T16:10:32.332085,22.125,0.014,2.684,0.048,0.046,0.052,0.15,213.216,7775.709,15.295,26.414,3.862,18.442,0.409,2.569,0.064,0.521,2.878,0.448,47.684,0.296,1.148,3.369,1.394,0.406,1.085,0.707,0,u0_s0
task_execution,2026-01-11T16:10:32.333086,109.479,0.683,18.153,0.0,0.375,0.127,0.12,426.67,6486.615,30.094,25.286,41.602,35.829,0.271,16.287,0.128,0.443,3.095,0.507,12.236,0.129,1.898,11.825,3.61,0.098,2.229,0.351,0,u0_s0
task_execution,2026-01-11T16:10:32.333086,139.514,0.3,19.691,0.016,0.342,0.101,0.088,442.826,4195.612,57.45,26.15,28.951,10.775,0.195,28.817,0.076,0.824,4.755,0.305,17.015,0.103,2.279,6.783,0.667,0.426,2.779,0.499,0,u0_s0
research_reading,2026-01-11T16:10:32.333086,21.066,0.2,8.695,0.046,0.193,0.433,0.164,398.989,3710.314,0.762,15.334,3.281,21.831,0.274,0.0,0.068,0.262,11.316,0.319,38.763,0.358,2.24,10.849,0.0,1.243,2.359,0.829,0,u0_s0
unproductive,2026-01-11T16:10:32.333086,52.422,0.0,8.428,0.057,0.159,0.239,0.176,767.86,14374.037,30.582,28.516,26.864,30.623,0.344,22.958,0.034,1.01,8.157,0.322,9.473,0.085,3.273,3.021,5.915,2.281,1.463,0.221,0,u0_s0
task_execution,2026-01-11T16:10:32.333086,48.629,0.493,7.304,0.0,0.425,0.127,0.086,499.995,8915.68,169.231,21.636,37.299,26.425,0.183,31.435,0.127,0.312,7.199,0.358,31.043,0.108,1.571,4.94,3.206,0.742,2.471,0.536,0,u0_s0
task_execution,2026-01-11T16:10:32.334086,81.846,0.396,21.527,0.028,0.201,0.114,0.103,691.774,10629.04,42.151,11.984,35.349,38.617,0.175,26.137,0.184,0.638,5.732,0.399,12.411,0.124,2.099,6.062,6.034,1.097,2.946,0.416,0,u0_s0
task_execution,2026-01-11T16:10:32.334086,89.585,0.391,26.84,0.042,0.091,0.074,0.139,390.346,11052.189,101.993,10.595,26.276,0.0,0.354,21.873,0.161,0.939,7.354,0.376,15.783,0.103,2.132,7.085,2.468,0.618,3.624,0.244,0,u0_s0
meeting_communication,2026-01-11T16:10:32.334086,33.92,0.046,0.0,0.075,0.03,0.631,0.126,153.164,4282.437,15.542,10.922,8.842,6.974,0.568,5.041,0.032,0.103,17.349,0.667,11.553,0.06,1.333,0.0,0.872,0.055,1.849,0.797,0,u0_s0
meeting_communication,2026-01-11T16:10:32.334086,8.004,0.0,5.705,0.003,0.0,0.643,0.265,189.258,3096.273,47.251,12.713,4.73,9.595,0.507,6.173,0.008,0.237,16.461,0.645,5.691,0.0,0.112,0.785,0.0,0.078,1.094,0.983,0,u0_s0
research_reading,2026-01-11T16:10:32.334086,26.837,0.068,6.251,0.013,0.075,0.302,0.186,479.304,3780.122,0.0,24.236,12.787,13.325,0.482,9.302,0.093,0.335,21.219,0.636,40.051,0.311,2.654,14.126,0.0,0.562,1.732,0.454,0,u0_s0
research_reading,2026-01-11T16:10:32.335086,38.309,0.099,4.983,0.0,0.047,0.484,0.224,422.167,6554.932,58.191,11.763,0.0,22.233,0.368,14.337,0.014,0.306,10.539,0.294,51.101,0.293,1.905,16.871,0.553,0.109,0.504,0.567,0,u0_s0
research_reading,2026-01-11T16:10:32.335086,9.407,0.102,1.277,0.029,0.0,0.579,0.148,267.603,7126.677,35.473,12.246,15.041,31.397,0.274,5.845,0.049,0.0,3.339,0.59,68.46,0.214,2.599,9.896,3.951,0.735,0.782,0.551,0,u0_s0
research_reading,2026-01-11T16:10:32.335086,4.377,0.022,3.822,0.044,0.001,0.186,0.083,319.943,7137.284,61.045,22.457,15.357,11.819,0.327,20.595,0.088,0.258,18.826,0.379,33.76,0.345,1.09,0.996,1.813,0.298,0.987,0.622,0,u0_s0
research_reading,2026-01-11T16:10:32.335086,15.818,0.048,2.921,0.028,0.017,0.292,0.079,413.13,6466.132,32.307,6.754,5.514,31.372,0.377,3.836,0.06,0.437,2.568,0.491,33.846,0.279,1.527,1.432,0.0,0.306,1.093,0.557,0,u0_s0
research_reading,2026-01-11T16:10:32.336087,0.0,0.139,12.734,0.0,0.074,0.223,0.097,486.6,9357.55,57.572,8.227,29.599,1.064,0.224,9.572,0.06,0.398,18.816,0.411,45.491,0.186,2.608,7.377,0.553,0.505,1.713,0.4,0,u0_s0
focused_work,2026-01-11T16:10:32.336087,210.511,1.609,28.823,0.0,0.258,0.016,0.033,334.798,8504.547,62.929,7.466,23.75,0.0,0.11,19.735,0.013,0.699,9.075,0.546,12.538,0.12,0.983,2.372,0.0,0.0,1.501,0.551,0,u0_s0
focused_work,2026-01-11T16:10:32.336087,267.961,1.369,29.308,0.019,0.487,0.045,0.031,277.691,7079.373,82.328,15.491,25.183,5.672,0.114,5.101,0.052,0.505,10.566,0.499,0.0,0.057,2.214,1.47,0.047,0.535,1.381,0.659,0,u0_s0
focused_work,2026-01-11T16:10:32.336087,214.578,1.813,42.851,0.026,0.308,0.034,0.04,338.528,7340.056,2.347,16.21,15.851,17.726,0.01,0.329,0.105,0.485,4.19,0.458,7.695,0.102,0.762,0.0,0.0,0.0,0.0,0.632,0,u0_s0
task_execution,2026-01-11T16:10:32.336087,143.645,0.145,12.193,0.031,0.19,0.082,0.091,593.583,6707.455,81.282,9.761,34.473,27.739,0.193,50.663,0.065,1.133,0.0,0.212,4.228,0.033,1.664,4.491,2.913,0.978,2.791,0.531,0,u0_s1
task_execution,2026-01-11T16:10:32.337087,47.365,0.701,23.636,0.035,0.157,0.071,0.11,386.526,10879.149,65.698,13.838,34.913,36.125,0.141,36.557,0.066,0.94,5.824,0.389,16.762,0.03,2.168,3.067,2.377,1.817,1.559,0.307,0,u0_s1
focused_work,2026-01-11T16:10:32.337087,230.29,0.825,42.062,0.0,0.183,0.043,0.073,329.86,4480.242,93.502,19.338,22.493,15.766,0.058,3.261,0.076,0.145,9.715,0.788,12.962,0.038,1.155,5.116,1.57,0.0,1.341,0.621,0,u0_s1
focused_work,2026-01-11T16:10:32.337087,232.802,1.061,32.297,0.015,0.286,0.058,0.021,271.804,2338.35,25.424,1.803,9.308,32.531,0.015,34.627,0.092,0.508,5.484,0.658,6.495,0.055,2.172,1.683,1.149,0.0,1.068,0.814,0,u0_s1
task_execution,2026-01-11T16:10:32.337087,38.109,0.434,19.777,0.031,0.162,0.115,0.02,741.465,4782.11,66.261,28.232,27.817,41.712,0.239,37.827,0.174,0.673,5.904,0.267,13.689,0.113,1.615,4.962,2.996,1.873,2.183,0.401,0,u0_s1
research_reading,2026-01-11T16:10:32.337087,38.318,0.122,2.996,0.032,0.062,0.318,0.107,560.925,4355.209,33.609,10.496,21.704,24.666,0.43,1.296,0.065,0.458,11.327,0.554,36.026,0.346,3.977,7.2,0.427,0.869,2.148,0.603,0,u0_s1
research_reading,2026-01-11T16:10:32.338087,14.58,0.032,1.364,0.014,0.0,0.103,0.059,474.955,6177.42,17.641,32.492,4.817,36.312,0.489,0.874,0.06,0.247,7.921,0.492,34.442,0.194,2.003,7.157,0.0,0.606,1.724,0.707,0,u0_s1
